영업상태명,영업상태코드,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,1,영업,,서울특별시 용산구 이태원동 243-37번지 ,서울특별시 용산구 회나무로44길 46 (이태원동),소정관,중국식,199509.309167366,448585.531285101
영업/정상,1,영업,,서울특별시 용산구 한남동 94-8번지 (지상1층) ,,할머니네집,한식,,
영업/정상,1,영업,,서울특별시 용산구 청파동3가 15-4번지 (지상1층) ,서울특별시 용산구 청파로47길 5 (청파동3가),신선 낙지,한식,,
영업/정상,1,영업,,서울특별시 용산구 한남동 85-4번지 (지상1층) ,서울특별시 용산구 대사관로34길 11 (한남동),화포식당 한남점,한식,200490.587951468,447835.866966488
영업/정상,1,영업,,서울특별시 용산구 한남동 726-63번지 (지상1층) ,,예원,한식,,
영업/정상,1,영업,,서울특별시 용산구 청파동2가 55-1번지 ,서울특별시 용산구 청파로47길 82 (청파동2가),포라임,경양식,196920.745916732,449209.513689564
영업/정상,1,영업,,서울특별시 용산구 후암동 244-86번지 ,서울특별시 용산구 후암로28길 10 (후암동),또래오래,기타,197971.521923251,449728.611418133
영업/정상,1,영업,,서울특별시 용산구 한남동 683-136번지 ,서울특별시 용산구 이태원로 260 (한남동),재팬,정종/대포집/소주방,200062.786736031,448382.408601901
영업/정상,1,영업,,서울특별시 용산구 이태원동 127-25번지 ,,까치네,분식,,
영업/정상,1,영업,,서울특별시 용산구 이태원동 127-25번지 (지상1층) ,,커피플러스,경양식,,
영업/정상,1,영업,,서울특별시 용산구 한남동 96-4번지 (지상1층) ,서울특별시 용산구 독서당로 38 (한남동),또또와식당,분식,,
영업/정상,1,영업,,서울특별시 용산구 이태원동 127-2번지 ,서울특별시 용산구 이태원로 192 (이태원동),미스터케밥,경양식,199520.280404591,448012.047528971
영업/정상,1,영업,,서울특별시 용산구 이태원동 258-7번지 (지상1층.2층.3층) ,서울특별시 용산구 회나무로44길 10 (이태원동),라쿠치나(주)세부유통,경양식,199618.685808269,448700.221051459
영업/정상,1,영업,,서울특별시 용산구 청파동3가 50-1번지 ,서울특별시 용산구 청파로 273-5 (청파동3가),두리분식,분식,197310.434004659,449076.868680885
영업/정상,1,영업,,서울특별시 용산구 청파동1가 141-2번지 (지상2층) ,,갑돌네,한식,197248.68790889,449698.992716897
영업/정상,1,영업,,서울특별시 용산구 후암동 60-20번지 ,서울특별시 용산구 후암로 48 (후암동),김밥천국,김밥(도시락),197943.134805892,449773.971539269
영업/정상,1,영업,,서울특별시 용산구 효창동 3-59번지 ,서울특별시 용산구 임정로 93 (효창동),필,호프/통닭,196475.745645235,449409.874737627
영업/정상,1,영업,,서울특별시 용산구 이태원동 123-26,서울특별시 용산구 이태원로 191 (이태원동),우드스탁,경양식,199512.961015023,448062.701449536
영업/정상,1,영업,,서울특별시 용산구 이태원동 34-55번지 (지하1층) ,,오구작작,한식,199007.511537812,447889.216650665
영업/정상,1,영업,,서울특별시 용산구 이태원동 119-29 (지상1층) ,서울특별시 용산구 이태원로 165-6 (이태원동),스컹크 온더 선셋,기타,199269.056052683,448055.156196532
영업/정상,1,영업,,서울특별시 용산구 이태원동 116-2번지 지상1층 ,서울특별시 용산구 이태원로27가길 36 (이태원동),소프트 퀸,까페,199332.296292549,448103.180467503
영업/정상,1,영업,,서울특별시 용산구 이태원동 126-30번지 (지상1층) ,서울특별시 용산구 우사단로14길 21 (이태원동),치얼스,경양식,199650.500239024,448011.48537122
영업/정상,1,영업,,서울특별시 용산구 이태원동 126-30번지 (지상1층) ,서울특별시 용산구 우사단로14길 21 (이태원동),비너스,분식,199650.500239024,448011.48537122
영업/정상,1,영업,,서울특별시 용산구 후암동 265-14번지 (지상1층) ,서울특별시 용산구 두텁바위로37길 11 (후암동),쥬라기파크,한식,198261.916158544,449434.239220774
영업/정상,1,영업,,서울특별시 용산구 한남동 703-1번지 ,서울특별시 용산구 한남대로21길 9 (한남동),새(SE),경양식,200501.438200388,448015.480732844
영업/정상,1,영업,,서울특별시 용산구 청파동2가 21-7 (지상1층) ,서울특별시 용산구 청파로53길 16 (청파동2가),유명생고기마을,분식,197220.959816337,449342.880383906
영업/정상,1,영업,,서울특별시 용산구 이태원동 126-30번지 (지상1층) ,서울특별시 용산구 우사단로14길 21 (이태원동),비너스,분식,199650.500239024,448011.48537122
영업/정상,1,영업,,서울특별시 용산구 한남동 85-4 (지상1층) ,서울특별시 용산구 독서당로 51 (한남동),아오리 한남,한식,200490.587951468,447835.866966488
영업/정상,1,영업,,서울특별시 용산구 후암동 244-37번지 (지상1층) ,,목로주점,분식,197964.788689622,449686.155181289
영업/정상,1,영업,,서울특별시 용산구 한남동 683-42번지 (지상1층) ,서울특별시 용산구 이태원로54길 20 (한남동),장안성,중국식,200009.021862581,448244.193666507
영업/정상,1,영업,,서울특별시 용산구 청파동2가 99-1번지 ,서울특별시 용산구 청파로 293 (청파동2가),삼일숯불갈비,한식,197291.301243408,449283.174000017
영업/정상,1,영업,,서울특별시 용산구 한남동 111-6번지 (지상1/2층) ,,늑대와여우,분식,200585.461094999,447604.193346006
영업/정상,1,영업,,서울특별시 용산구 후암동 244-80번지 (지상1층) ,,비어호프치킨,한식,,
영업/정상,1,영업,,서울특별시 용산구 이태원동 138-7번지 (지상4층) ,서울특별시 용산구 우사단로10가길 9 (이태원동),1호아프리카 국제레스토랑,경양식,199652.448550875,447931.110690565
영업/정상,1,영업,,서울특별시 용산구 한남동 683-136번지 ,서울특별시 용산구 이태원로 260 (한남동),재팬,정종/대포집/소주방,200062.786736031,448382.408601901
